Path,Method,OperationId,ResponseType,ResponseFields
"/access-control/v1/api-security-settings","get","vm-api-security-settings-list","object","{""type"":""object"",""properties"":{""allowed_ipv4_addresses"":{""type"":""string"",""description"":""A comma-separated list of IPv4 addresses to allow. The list can include discrete IPv4 addresses, IPv4 address ranges, and IPv4 subnets. For example, `\""192.0.2.0, 198.51.100.4-198.51.100.10, 203.0.113.0/24\""`.\n\nIf an empty string is provided then the API can be accessed from all IPv4 addresses.""},""allowed_ipv6_addresses"":{""type"":""string"",""description"":""A comma-separated list of IPv6 addresses to allow. The list can include discrete IPv6 addresses, IPv6 address ranges, and IPv6 subnets. For example, `\""2001:db8:2e92:75f2:d40a:e290:10b3:c0f, 2001:db8:1e1f:46a1:e3cb:2110:22c6:0000-2001:db8:1e1f:46a1:e3cb:2110:22c6:ffff, 2001:0DB8::/32\""`.\n\nIf an empty string is provided then the API can be accessed from all IPv6 addresses.""}}}"
"/access-control/v1/api-security-settings","put","vm-api-security-settings-update","unknown","{}"
"/groups","post","groups-create","object","{""type"":""object"",""properties"":{""permissions"":{""type"":""integer"",""description"":""The permissions for the group.""},""name"":{""type"":""string"",""description"":""The name of the group.""},""uuid"":{""type"":""string"",""description"":""The UUID for the group.""},""id"":{""type"":""integer"",""description"":""The unique ID of the group.""}}}"
"/groups","get","groups-list","object","{""type"":""object"",""description"":""An object containing an array of group objects."",""properties"":{""groups"":{""description"":""An array of group objects."",""type"":""array"",""items"":{""type"":""object"",""properties"":{""user_count"":{""type"":""integer"",""description"":""The number of users in the group.""},""permissions"":{""type"":""integer"",""description"":""The permissions for the group.""},""name"":{""type"":""string"",""description"":""The name of the group.""},""uuid"":{""type"":""string"",""description"":""The UUID for the group.""},""id"":{""type"":""integer"",""description"":""The unique ID of the group.""}}}}}}"
"/groups/{group_id}","put","groups-edit","object","{""type"":""object"",""properties"":{""user_count"":{""type"":""integer"",""description"":""The number of users in the group.""},""permissions"":{""type"":""integer"",""description"":""The permissions for the group.""},""name"":{""type"":""string"",""description"":""The name of the group.""},""uuid"":{""type"":""string"",""description"":""The UUID for the group.""},""id"":{""type"":""integer"",""description"":""The unique ID of the group.""}}}"
"/groups/{group_id}","delete","groups-delete","unknown","{}"
"/groups/{group_id}/users","get","groups-list-users","object","{""type"":""object"",""description"":""An object containing an array of user objects."",""properties"":{""users"":{""type"":""array"",""description"":""An array of user objects."",""items"":{""type"":""object"",""properties"":{""uuid"":{""type"":""string"",""description"":""The UUID of the user.""},""id"":{""type"":""integer"",""description"":""The unique ID of the user.""},""user_name"":{""type"":""string"",""description"":""The username for the user.""},""username"":{""type"":""string"",""description"":""The username for the user.""},""email"":{""type"":""string"",""description"":""The email address of the user. If this attribute is empty, Tenable Vulnerability Management uses the `username` value as the user's email address.""},""name"":{""type"":""string"",""description"":""The name of the user (for example, first and last name).""},""type"":{""type"":""string"",""description"":""The type of user. The only supported type is `local`.""},""permissions"":{""type"":""integer"",""description"":""The user permissions as described in [Permissions](doc:permissions)."",""format"":""int32""},""last_login_attempt"":{""type"":""integer"",""description"":""The time (in Unix milliseconds) of the last time the user failed to log in to the Tenable Vulnerability Management user interface. This attribute is only present if the user has attempted unsuccessfully to log in to the Tenable Vulnerability Management user interface.""},""login_fail_count"":{""type"":""integer"",""description"":""The number of failed login attempts since the user last successfully logged in to the Tenable Vulnerability Management user interface. \n\nIf this attribute is greater than 5, Tenable Vulnerability Management locks the user account (that is, updates the `lockout` attribute for the user to `1`.)\n\nYou can reset this count to `0` by [changing the user's password](ref:users-password) or [generating the user's API keys](ref:users-keys).""},""login_fail_total"":{""type"":""integer"",""description"":""The total number of failed login attempts for the user.""},""enabled"":{""type"":""boolean"",""description"":""Specifies whether the user account is enabled (`true`) or disabled (`false`).""},""undeletable"":{""type"":""boolean"",""description"":""Specifies whether the user account is undeletable (`true`) or deletable (`false`).""},""two_factor"":{""type"":""object"",""properties"":{""sms_phone"":{""type"":""string"",""description"":""The phone number used for two-factor authentication. The phone number begins with the `+` character and the country code. This field is required when sms_enabled is set to `true`.""},""sms_enabled"":{""type"":""integer"",""description"":""Indicates whether two-factor authentication is enabled (`1`) or disabled (`0`).""},""email_enabled"":{""type"":""integer"",""description"":""Indicates whether backup notification for two-factor authentication is enabled (`1`) or disabled (`0`). If enabled, Tenable Vulnerability Management sends the two-factor verification code via e-mail, as well as via the default SMS message.""}}},""lockout"":{""type"":""integer"",""description"":""Specifies whether the user can log into the Tenable Vulnerability Management user interface (`0`) or is locked out (`1`).\n\nTenable Vulnerability Management automatically updates this attribute to `1` if the `login_fail_count` attribute for the user is greater than 5. To unlock a user account, reset the user's password using the [PUT /users/{user_id}/chpasswd](ref:users-password) endpoint.\n\n**Note:** A user can be locked out of the user interface but still submit API requests if they are assigned the appropriate authorizations (`api_permitted`). To prevent a user from submitting API requests, limit authorizations using the [PUT /users/{user_id}/authorizations](ref:users-update-auths) endpoint, or disable the user entirely using the [PUT /users/{user_id}/enabled](ref:users-enabled) endpoint.""},""container_uuid"":{""type"":""string"",""description"":""The UUID of the Tenable Vulnerability Management instance to which the user belongs.""},""lastlogin"":{""type"":""integer"",""description"":""The last time (in Unix milliseconds) that the user successfully logged in to the Tenable Vulnerability Management user interface. This attribute is only present if the user has logged in at least once successfully to the Tenable Vulnerability Management user interface.""},""uuid_id"":{""type"":""string"",""description"":""The UUID for the user.""}}}}}}"
"/groups/{group_id}/users/{user_id}","post","groups-add-user","unknown","{}"
"/groups/{group_id}/users/{user_id}","delete","groups-delete-user","unknown","{}"
"/api/v3/access-control/permissions","post","io-v3-access-control-permission-create","object","{""type"":""object"",""properties"":{""actions"":{""description"":""A list of actions to applied to the tags or the assets grouped by tags. Possible actions are `CanScan`, `CanView`, `CanEdit`, and `CanUse`."",""type"":""array"",""items"":{""type"":""string"",""enum"":[""CanScan"",""CanView"",""CanEdit"",""CanUse""]}},""name"":{""description"":""The name of the permission.\n\n**Note:** The name must be unique, 255 characters or less, and alphanumeric. The following special characters are allowed: underscore, dash, parenthesis, brackets, and colon."",""type"":""string""},""objects"":{""description"":""A list of objects (tags or assets) that will have the specified permission applied to them."",""type"":""array"",""items"":{""type"":""object"",""properties"":{""name"":{""description"":""The name of the tag object. \n\n**Note:** This parameter is valid for objects of type `Tag` only. The format is `Category,Value` when passing this parameter in a request. Note that this same data is shown as `Category:Value` in responses which differs from the request format. This parameter is ignored for the `AllAssets` type."",""type"":""string""},""type"":{""description"":""The type of object. Valid types are `Tag` and `AllAssets`."",""type"":""string"",""enum"":[""Tag"",""AllAssets""]},""uuid"":{""description"":""The UUID of the tag object. \n\n**Note:** This parameter is valid for objects of type `Tag` only. This parameter is ignored for the `AllAssets` type."",""type"":""string"",""format"":""uuid""}}}},""permission_uuid"":{""description"":""The UUID of the permission."",""type"":""string""},""subjects"":{""description"":""A list of users or user groups that you want the permission applied to."",""type"":""array"",""items"":{""type"":""object"",""properties"":{""name"":{""description"":""The name of the user or user group.\n\n **Note:** This parameter is valid for subjects of type `User` or `UserGroup` only. This parameter is ignored for For the `AllUsers` subject type."",""type"":""string""},""type"":{""description"":""The type of the subject. Valid types are `User`, `UserGroup`, or `AllUsers`."",""type"":""string"",""enum"":[""User"",""UserGroup"",""AllUsers""]},""uuid"":{""description"":""The UUID of the user or user group.\n\n**Note:** This parameter is valid for subjects of type `User` or `UserGroup` only. This parameter is ignored for For the `AllUsers` subject type."",""type"":""string"",""format"":""uuid""}}}},""created_at"":{""description"":""A Unix timestamp indicating the date and time on which the permissions was created."",""type"":""integer"",""format"":""int64""},""created_by"":{""description"":""The name of the user who created the permission."",""type"":""string""},""updated_at"":{""description"":""A Unix timestamp indicating the date and time on which the permissions was updated."",""type"":""integer"",""format"":""int64""},""updated_by"":{""description"":""The name of the user who last updated the permission."",""type"":""string""}}}"
